,,,,accelerometer,gyro,mag,d6t,1,2,3,4
accelerometer,0.408,,,0.408,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,12.768,,,FALSE,12.768,FALSE,FALSE,1,2,3,4
accelerometer,63.977,,,63.977,FALSE,FALSE,FALSE,1,2,3,4
D6T,74.764,,,FALSE,FALSE,FALSE,74.764,1,2,3,4
accelerometer,101.311,,,101.311,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,180.318,,,FALSE,180.318,FALSE,FALSE,1,2,3,4
magnetometer,181,,,FALSE,FALSE,181,FALSE,1,2,3,4
D6T,201.745,,,FALSE,FALSE,FALSE,201.745,1,2,3,4
magnetometer,239.21,,,FALSE,FALSE,239.21,FALSE,1,2,3,4
accelerometer,239.292,,,239.292,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,254.123,,,FALSE,FALSE,254.123,FALSE,1,2,3,4
accelerometer,254.655,,,254.655,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,255.21,,,255.21,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,271.06,,,271.06,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,355.789,,,355.789,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,382.16,,,FALSE,FALSE,382.16,FALSE,1,2,3,4
magnetometer,428.4,,,FALSE,FALSE,428.4,FALSE,1,2,3,4
accelerometer,485.914,,,485.914,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,506.436,,,FALSE,FALSE,506.436,FALSE,1,2,3,4
magnetometer,517.427,,,FALSE,FALSE,517.427,FALSE,1,2,3,4
accelerometer,570.059,,,570.059,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,611.665,,,611.665,FALSE,FALSE,FALSE,1,2,3,4
D6T,643.975,,,FALSE,FALSE,FALSE,643.975,1,2,3,4
magnetometer,732.568,,,FALSE,FALSE,732.568,FALSE,1,2,3,4
accelerometer,733.386,,,733.386,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,806.328,,,806.328,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,927.771,,,927.771,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,952.007,,,952.007,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,1039.132,,,1039.132,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,1045.055,,,FALSE,1045.055,FALSE,FALSE,1,2,3,4
